make,model,year,cluster_seed,count
Changan,Uni-K,2025,elite,8
Land Rover,Defender 110,2022,hse,8
Land Rover,Defender 110,2022,xs,3
Mercedes-Benz,C 300,2022,amg,2
Mercedes-Benz,C 300,2022,kit,1
Mercedes-Benz,C 300,2022,pkg,1
Mercedes-Benz,C 300 Coupe,2024,amg,3
Mercedes-Benz,C 300 Coupe,2024,kit,1
Toyota,Prado,2024,adventure,2
Toyota,Prado,2024,tx2,1
Toyota,Prado,2024,txl,8
Toyota,Prado,2024,diesel,1
Kia,Sportage,2025,lx,1
Kia,Sportage,2025,4x,1
Kia,Sportage,2025,gls,11
Kia,Sportage,2025,dct,1
Kia,Sportage,2025,mid,1
Kia,Sportage,2025,top,4
Hyundai,Tucson,2024,2 0,1
Hyundai,Tucson,2024,smart,4
Hyundai,Azera,2025,exclusive,1
Hyundai,Azera,2025,caligraphy,4
Hyundai,Azera,2025,classic,4
Hyundai,Azera,2025,premium,1
Hyundai,Azera,2025,gls,3
Hyundai,Azera,2025,3 5,1
BMW,X5,2024,xdrive,4
Changan,CS95,2025,royal,1
Dodge,Charger,2022,gt,3
Dodge,Charger,2022,vvt,1
BMW,X7,2021,xdrive40i,2
Changan,UNI-S,2025,uni,4
Chevrolet,Blazer,2024,rs,1
Chevrolet,Tahoe,2024,lt,2
Chevrolet,Suburban,2024,lt,1
Chevrolet,Suburban,2024,ls,1
GMC,Sierra,2024,elevation,1
GMC,Sierra,2024,sle,6
GMC,Sierra,2024,at4,2
Mercedes-Benz,Cle,2024,amg,8
Mercedes-Benz,Cle,2024,kit,4
Mercedes-Benz,Cle,2024,300,2
Mercedes-Benz,Cle,2024,cla,2
Mercedes-Benz,Cle,2024,200,4
Toyota,Land Cruiser,2021,gxr,15
Toyota,Land Cruiser,2021,gps,2
Toyota,Land Cruiser,2021,dvd,2
Toyota,Land Cruiser,2021,vxr,2
Mercedes-Benz,GLE 350,2021,gle,4
Mercedes-Benz,GLE 350,2021,amg,1
Mercedes-Benz,GLE 350,2021,kit,1
Mercedes-Benz,GLE 350,2021,com,1
BMW,M5,2021,competition,2
BMW,M5,2021,pkg,2
BMW,X7,2024,xdrive40i,2
Mercedes-Benz,GLE 53 AMG,2021,gle,6
Mercedes-Benz,GLE 53 AMG,2021,amg,3
Mercedes-Benz,S 580,2022,amg,3
Mercedes-Benz,S 580,2022,kit,2
Mercedes-Benz,GLC 300,2023,glc,4
Mercedes-Benz,GLC 300,2023,amg,3
Mercedes-Benz,GLC 300,2023,kit,1
Mercedes-Benz,E-Class,2025,e,2
Mercedes-Benz,E-Class,2025,amg,8
Mercedes-Benz,E-Class,2025,kit,1
BMW,X2,2022,sdrive20i,2
Chevrolet,Tahoe,2022,ls,2
Chevrolet,Tahoe,2022,rst,4
Chevrolet,Tahoe,2022,xl,2
Chevrolet,Tahoe,2022,lt,1
Lexus,ES 350,2022,line,2
Lexus,IS500,2022,launch,2
Tesla,Other,2024,cab,2
Ford,F150,2020,reg,2
Ford,F150,2020,cab,1
Ford,F150,2020,xlt,1
Ford,F150,2020,mod,1
Ford,F150,2020,raptor,1
Toyota,Hilux,2025,glx,13
Toyota,Hilux,2025,adventure,1
Toyota,Hilux,2025,gl2,1
Toyota,Hilux,2025,full,1
Toyota,Hilux,2025,now,1
Toyota,Hilux,2025,dsl,2
Toyota,Hilux,2025,s,1
Toyota,Hilux,2025,dlx,1
Toyota,Hilux,2025,mid,1
BMW,X3,2023,xdrive30i,1
Nissan,GT-R,2021,مكينة,1
Nissan,GT-R,2021,bos,1
Nissan,GT-R,2021,premium,4
BMW,X6,2020,xdrive40i,2
BMW,X6,2020,pkg,2
BMW,X6,2020,بي,1
BMW,X6,2020,20202020,1
Mercedes-Benz,C 300,2024,amg,1
Mercedes-Benz,C 300,2024,hud,1
Porsche,Macan,2024,مالك,2
Porsche,Macan,2024,pdk,2
Porsche,Macan,2024,داخلية,1
Porsche,Macan,2024,t,1
Mercedes-Benz,C 300,2025,amg,1
Porsche,Cayenne,2022,s,1
Porsche,Cayenne,2022,coupe,2
Ford,Mustang,2024,ecoboost,4
Ford,Mustang,2024,pkg,2
Ford,Mustang,2024,dark,6
Ford,Mustang,2024,gt,3
Other make,Other,2022,kwh,1
Other make,Other,2022,epa,1
Ford,Bronco,2021,badlands,2
Ford,Bronco,2021,raptor,1
Honda,Accord,2023,hybrid,2
Honda,Accord,2023,lux,2
Honda,Accord,2023,silver,1
Honda,Accord,2023,eco,2
Honda,Accord,2020,hybrid,1
Honda,Accord,2024,hybrid,3
Honda,Accord,2024,exl,6
Honda,Accord,2024,standrd,1
Honda,Accord,2024,eps,1
BMW,X6,2024,xdrive40i,8
BMW,X6,2024,pro,1
BMW,520,2025,i,2
BMW,520,2025,kit,23
BMW,520,2025,m,3
BMW,520,2025,tax,1
BMW,X4,2022,xdrive,2
BMW,X4,2022,kit,3
BMW,X4,2022,pkg,1
GMC,Canyon,2024,at4x,1
Chevrolet,Silverado,2024,trail,1
Hyundai,Santa Fe,2022,limited,1
Hyundai,Santa Fe,2022,off,1
Hyundai,Santa Fe,2022,fix,1
Toyota,Hilux,2024,2 8,2
Toyota,Hilux,2024,mts,8
Toyota,Hilux,2024,glx,12
Toyota,Hilux,2024,gxl,1
Toyota,Hilux,2024,gl2,1
Dodge,Ram,2023,big,8
Dodge,Ram,2023,lunar,2
Dodge,Ram,2023,trx,4
Dodge,Ram,2023,cab,2
Dodge,Ram,2023,2500,1
Peugeot,408,2025,gt,3
Chevrolet,Traverse,2024,2lt,3
Mercedes-Benz,GLE 53 AMG,2022,gle,1
Mercedes-Benz,GLE 53 AMG,2022,amg,2
Lamborghini,Urus,2023,mansory,2
Lamborghini,Urus,2023,performante,2
Lamborghini,Urus,2023,s,1
Lamborghini,Urus,2023,special,1
Lucid,Air,2023,dream,5
Toyota,Crown,2023,majesta,3
Toyota,Crown,2023,premium,3
Mercedes-Benz,GLE 63 AMG,2021,gle,5
Mercedes-Benz,GLE 63 AMG,2021,amg,5
Mercedes-Benz,GLE 63 AMG,2021,tct,1
Mercedes-Benz,SLS AMG,2011,sls,2
Mercedes-Benz,SLS AMG,2011,amg,2
Nissan,Patrol,2025,platinum,14
Nissan,Patrol,2025,se2,3
